Ndimbati arahaguruka yinjira mu gikoni gushaka igikombe cya kawa. 	Ndimbati got up and went into the kitchen to find a cup of coffee.
Ndimbati yafashe urubura akora urubura rujugunya kuri anet. 	Ndimbati caught the ice making the ice drop on the anet.
Twaguze piyano nini yatwaye kimwe cya kabiri cyicyumba cyacu. 	We bought a large piano that took half of our room.
Igihe ikiruhuko kirangiye nzafata akazi kenshi. 	When the holidays are over I will take on more work.
Wari ukwiye kubona aha hantu mbere yuko ntangira kuyisukura. 	You should have seen this place before I started cleaning it.
Hashyizweho ikigega hagamijwe kubungabunga umubumbe 	A fund has been set up to protect our planet.
Kajugujugu irashobora guhaguruka ikamanuka igororotse hejuru no hepfo. 	The helicopter can rise and go straight up and down.
Tuzahagarara kuri New Osaka Hotel duhitemo Bwana Takakura. 	We will stop at the New Osaka Hotel and select Mr. Takakura.
Nkiri muto papa yakundaga kuntera mu kirere. 	When I was younger Dad used to throw me in the air.
Nkibyuka muri iki gitondo imvura yari yarahindutse urubura. 	As I woke up this morning the rain had turned to snow.
ndimbati amaze kubyuka asanga anet asoma igitabo ku meza. 	when the wolf wakes up he finds anet reading a book at the table.
Wigeze kwitiranya rimwe gusa. Ntugomba kubabara hejuru yacyo. 	You've only ever been confused. You don't have to worry about it.
Abana bose baricaye baritwara mu birori. 	All the children are sitting and carrying it at the party.
Munyemerere mbimenye mbere mugihe uzamutse i Tokiyo. 	Let me know before you go to Tokyo.
Imfubyi afite imyaka itatu yarezwe na mwene wabo wa kure. 	An orphan at the age of three he was raised by a distant relative.
Ubucuruzi burihuta kandi turi hejuru yinkokora murutonde. 	Business is fast and we are at the top of the list.
Urashobora gukomera nyuma yibirori ukamfasha gusukura? 	Can you get stronger after the party and help me clean up?
Nubwo yakuriye mu Buyapani avuga icyongereza neza. 	Although he grew up in Japan he speaks fluent English.
Abantu bane bitwaje imbunda bafashe banki baratoroka bafite miliyoni . 	Four gunmen grabbed a bank and escaped with a million.
Kubona ndimbati ngo yerekane igihe ntabwo bisa nkikibazo. 	Getting a nail polish to show off when it doesn't seem like a problem.
Yafashwe n'ubukonje bukabije kuko yaraye atinze. 	He had a severe cold because he was late at night.
Asanga bigoye gukomeza hamwe nabandi basigaye. 	He finds it difficult to keep up with the rest.
Yahambiriye imbwa ye ku giti igihe yinjiraga mu iduka.	He tied his dog to a tree as he entered the store.
Yabyibushye cyane kuva yagiye muri siporo.	He has gained a lot of weight since he went to the gym.
Hey Ken'ichi ngwino unyuze kuri uwo muyoboro. Nzagukurura. 	Hey Ken'ichi come through that channel. I will pull you.
Buri gihe mperuka gushakisha amagambo amwe mu nkoranyamagambo. 	I always end up looking for some of the vocabulary words.
Nunamye kugira ngo mfate ikaramu yanjye yari yaguye hasi. 	I bowed down to take my pen that had fallen to the ground.
Sinshobora kureka gusa. Nashyize muburyo umwanya munini kuriyi. 	I can’t just give up. I put a lot of time into this.
Ntabwo nshobora kugendana nimyambarire yabakobwa bato muriyi minsi. 	I can't walk around with little girls' clothes these days.
Nujuje imodoka yanjye kuri sitasiyo ya serivisi ku mfuruka. 	I filled my car at the corner service station.
Nagerageje kumushimisha ariko icyo yashakaga ni ukuba wenyine. 	I tried to please her but all she wanted was to be alone.
Niba akomeje gutya azahurira muri gereza. 	If he continues to do so he will meet in prison.
Niba ikirere kimeze neza tuzajya gutembera mwishyamba. 	If the weather is good we will go for a walk in the woods.
Niba utwaye imodoka nkiyi uzarangirira mubitaro. 	If you drive like this you will end up in the hospital.
Bavuga ko igiciro cya divayi gishobora kuzamuka igihe icyo ari cyo cyose. 	They say the price of wine can go up at any time.
Buri modoka irengana yajugunye igicu cyumukungugu. 	Every passing car threw a cloud of dust.
Fata umwenda umfashe guhanagura akajagari. 	Take a loan and help me clean up the mess.
Wigeze ubwira ndimbati aho wakuriye? 	Did you ever tell me where you grew up?
Yinjiye mu cyumba maze azamuka ingazi. 	He entered the room and climbed the stairs.
Mu ijoro ryakeye ntabwo yagaragaye mu birori. 	Last night he did not show up at the party.
Yabyuka kare nka saa tanu buri gitondo. 	She wakes up early at 5am every morning.
Yabyutse kare kuruta uko byari bisanzwe muri iki gitondo. 	He woke up earlier than usual this morning.
Yahagaze mu cyumba areba hirya no hino. 	He stood in the room looking around.
Nta kintu atekereza cyo kurara ijoro ryose. 	He has no idea what to do all night.
Yahinduye amajwi kuri tereviziyo. 	He changed the sound on the TV.
Yakundaga kubyuka kare akiri muto. 	She used to wake up early when she was young.
Imodoka ye ni nto kandi ifata icyumba gito. 	His car is small and occupies a small room.
Muganga we yamugiriye inama yo kureka itabi. 	Her doctor advised her to quit smoking.
Nigute wazanye igitekerezo cyiza nkiki? 	How did you come up with such a great idea?
Nigute ushobora gutanga inama yo kwandika iyi raporo? 	How can you recommend writing this report?
Ihute cyangwa uzabura gari ya moshi ya nyuma. 	Hurry up or you'll miss the last train.
Ntabwo namenyereye kurara nijoro. 	I'm not used to sleeping at night.
Sinshobora kwihanganira ikinyabupfura cye ukundi. 	I can't stand his politeness anymore.
Sinshobora kwihanganira uburakari bwe ukundi. 	I can't stand his anger any more.
Sinshobora kwihanganira uru rusaku ukundi. 	I can't stand this noise anymore.
Sinshobora kwihanganira urusaku ukundi. 	I can't stand the noise anymore.
Nijoro naraye mfashe umukoro wanjye wose. 	Last night I took all my homework.
Numvise umuyaga nyuma yo kwiruka ku ngazi. 	I felt the wind after running down the stairs.
Nabyutse ntinze kandi natinze ku ishuri. 	I woke up late and I was late for school.
Ngomba kwiruka byihuse kugirango mumufate. 	I have to run fast to catch him.
Numvise ko Carol na Will bazatandukana. 	I heard that Carol and Will will separate.
Numvise ko watandukanye numukunzi wawe. 	I heard you broke up with your boyfriend.
Nizere ko ejo ikirere kizamera neza. 	I hope tomorrow the weather will be fine.
Ndizera ko abashakanye bakiri bato bazahita vuba. 	I hope young couples get married soon.
[S] Ndizera ko tuzahura nawe kuri iki gicamunsi. 	[S] I hope we meet you this afternoon.
Ngomba gukora cyane kugirango nsubize igihe cyatakaye. 	I have to work hard to make up for lost time.
Nafashe igikonoshwa cyiza ku nyanja. 	I caught a beautiful shell on the sea.
Nihutishije intambwe zanjye kugira ngo mumufate. 	I hastened my steps to seize him.
Nakubwiye ko ntagiye kureka. 	I told you I was not going to give up.
Nakundaga kumureba ariko sinkiriho. 	I used to look at him but I was no more.
Mbyuka saa kumi n'ebyiri n'igice za mugitondo. 	I wake up at 6:30 in the morning.
Ndashaka gukura nkaba umuhanga ukomeye. 	I want to grow up to be a great artist.
Nzagutwara akantu gato cyane 	I'll take you a little bit
Ndashaka ko ugumaho ukamfasha gukora isuku. 	I want you to stay and help me clean up.
Nzahura nawe basore kuri iki gicamunsi. 	I'll meet you guys this afternoon.
Nzagutwara ejo nimugoroba saa kumi n'ebyiri n'igice. 	I'll pick you up tomorrow evening at 6:30 p.m.
Ndi parikingi ebyiri. Urashobora kwihuta?	I have two parking lots. Can you hurry?
Ndumiwe no guhora witondimbatiba. 	I'm amazed at the constant buzz.
Ntabwo namenyereye kubyuka kare. 	I'm not used to waking up early.
Niba tudahagurukiye ndimbati ntawe uzabikora. 	If we don't get up I won't do it.
Ntabwo bisa nkaho bizagaragara uyu munsi. 	It doesn't look like it will happen today.
Biragoye kubaho mubyo wizera. 	It's hard to live by what you believe.
Ntabwo bizwi igihe yazaga i Londres. 	It is unknown at this time what he will do after leaving the post.
Ni wowe bireba niba twatsinze cyangwa tutabishoboye. 	It is up to you whether we succeed or not.
Biragoye gukomeza ibikorwa bye byanduye. 	It is difficult to keep up with his dirty work.
Numuyaga mwinshi kandi umusatsi wanjye warangiritse. 	The wind was blowing and my hair was damaged.
Kevin yaretse igitekerezo cyo kujya muri Kanada. 	Kevin gave up the idea of going to Canada.
Reka dushyire hamwe amafaranga dukoresha ukwezi. 	Let's put together our monthly expenses.
Data yakundaga kuntwara nyuma y'ishuri. 	My father used to take me after school.
Nta mugore washoboraga kugera ku gipimo cye. 	No woman could reach her standard.
Noneho ni mugihe ugomba gufata icyemezo. 	Now is the time to make a decision.
Gahunda zacu zo kuruhuka ziracyari mu kirere. 	Our vacation plans are still in the air.
Nyamuneka umpamagare hagati ya barindwi n'umunani. 	Please call me between seven and eight.
Nyamuneka fata icyemezo rimwe na rimwe.	Please make a decision at times.
Yaranshimishije igihe numvaga ubururu. 	It made me happy when I felt blue.
Ku munsi w'ejo ntabwo yagaragaye mu birori. 	He did not show up at the party yesterday.
Amaherezo yafashe icyemezo cyo kujya mu mahanga. 	Eventually he decided to go abroad.
Yakoze igihe cyatakaye akora cyane. 	He made up for lost time by working hard.
Icara. Ntiwemerewe guhaguruka. 	Sit down. You are not allowed to get up.
Abantu bamwe bafite amajosi mu madeni. 	Some people have necks in debt.
Haguruka ugororotse iyo ndimo kuvugana nawe! 	Stand up straight when I'm talking to you!
Hamagara ubutwari bwawe uvugishe ukuri. 	Call out your courage and speak the truth.
Inka z'inka zegeranije ubushyo bw'inka. 	Beef cows collect cows.
Muganga yamugiriye inama yo kureka itabi. 	The doctor advised her to quit smoking.
Abashimusi nta kimenyetso bagaragaje cyo gutanga. 	The kidnappers showed no signs of giving up.
Amerika igizwe na leta mirongo ine	The United States is made up of forty states
Hagomba kubaho impanuka imbere. 	There must be an accident inside.
Bose bamureba nk'umuyobozi wabo. 	They all look to him as their leader.
Yafashije umukecuru guhaguruka ku ntebe ye. 	He helped the woman get up from her chair.
Akenshi akora cyane kubintu bito. 	He often works hard on small things.
Yatoye ikintu cyera kumuhanda. 	He picked something white on the street.
Yanyarutse cyane ku buryo ntashobora gukomeza. 	He was so fast that he couldn't keep up.
Yashakaga kubyuka kare n'umugore we. 	He wanted to get up early with his wife.
Ntabwo yari kubireka nta rugamba. 	He would not give up without a fight.
Uruzinduko rwe rutunguranye rwamuteye gukora neza.	Her surprise visit made her feel better.
Ibikorwa bye ntabwo byageze kubyo ntegereje. 	His work did not come to fruition.
Ihute kandi uzaba mugihe cyishuri. 	Hurry up and you'll be in school time.
Namenyereye kurara kugeza bwije. 	I got used to sleeping until late at night.
Nshobora kwiruka byihuse kugirango mumufate. 	I can run fast to catch him.
Sinshobora kwihanganira ibitutsi bye ukundi. 	I can't stand his insults anymore.
Sinatekerezaga ko ndimbati yareka gutya. 	I didn't think I'd let that happen.
Sinkunda gusiga ibintu mu kirere. 	I don’t like to leave things in the air.
Nabyutse mbere y'isaha kurenza uko bisanzwe. 	I woke up an hour earlier than usual.
Ntabwo nari narategereje mbere yuko yitaba. 	I hadn't waited before he attended.
Nizere ko ikirere kizaba cyiza ku cyumweru. 	I hope the weather will be good on Sunday.
Nizere ko uzazana gahunda nziza. 	I hope you come up with something out of the ordinary.
Namusanze ku ngazi ubwo nazaga. 	I found him on the stairs when I arrived.
Ngomba kwiga cyane kugirango nsubize igihe cyatakaye. 	I have to study hard to make up for lost time.
Sinigeze ntekereza ko bizahuha gutya. 	I never thought it would be that way.
Ntabwo nari nkwiye kurara ejo. 	I shouldn't have slept tomorrow.
Njye namaze umunsi wose nsukura icyumba cyanjye. 	I have been cleaning my room all day.
Umunsi wose namaze gusukura icyumba. 	I cleaned the room all day.
Ndasaba ko twakwihutisha ibintu bike. 	I urge you to speed up the process.
Ntekereza ko iyi mbonerahamwe ifata umwanya munini. 	I think this chart takes up a lot of time.
Nategereje amasaha ariko ntiyagaragara. 	I waited for hours but it didn't show up.
Mbyuka saa kumi n'imwe n'igice za mugitondo. 	I wake up at 5:30 p.m.
Nzagerageza gukora ibyo witeze. 	I will try to live up to your expectations.
Nzaguhamagara nka munani nimugoroba. 	I'll call you at eight in the evening.
Ndatandukana numukunzi wanjye iri joro. 	I break up with my boyfriend tonight.
Ngiye kubyuka kare mu gitondo. 	I'm going to wake up early in the morning.
Nitugenda munzira tuzabageraho. 	If we walk the path we will reach them.
Biragoye guhimbira igihe cyataye igihe. 	It’s hard to invent a waste of time.
Nanjye ubwanjye kumubwira amakuru ababaje. 	I myself tell him sad news.
Byadutwaye igice cy'isaha yo gushinga ihema. 	It took us half an hour to set up the tent.
Ntabwo bizatinda mbere yuko ahaguruka)	It won't be long before he gets up)
Jim yataye ikaramu ye arunama ngo ayitware. 	Jim dropped his pen and bowed to take it.
Bwira ndimbati yihutire gukora ikintu. 	Tell the nimble to hurry and do something.
Mama ahora abyuka kare mu gitondo. 	My mother always wakes up early in the morning.
Mama yubuye amaso ku mpapuro arambona. 	My mother rolled her eyes at the paper and saw me.
Uwahoze ari umukunzi wanjye yakuriye muri Porutugali. 	My ex-girlfriend grew up in Portugal.
Umuhungu wanjye arashobora kubara kugeza ku ijana. 	My son can count to a hundred.
Ntuzigere wibagirwa gufunga iyo uryamye.	Never forget to close when you are asleep.
Ntakintu kizasimbuza amakosa ye ya kera. 	Nothing will replace his past mistakes.
Ibiciro byazamutse cyane mumwaka ushize. 	Prices have risen sharply over the past year.
Gusoma bigufasha kubaka amagambo yawe. 	Reading helps you build your words.
Yansabye kumutwara kuri sitasiyo.	He asked me to take him to the station.
[S] Yareze abana be ngo bavugishe ukuri. 	[S] She brought up her children to tell the truth.
Ku munsi w'ejo ntabwo yagaragaye mu birori. 	He did not show up at the party yesterday.
Ntabwo amenyereye kwicara nijoro. 	He is not accustomed to sitting at night.
Azakura abe piyano mwiza cyane. 	He will grow up to be a very good piano player.
Umugizi wa nabi yihaye abapolisi. 	The perpetrator turned himself in to police.
Ba injeniyeri bakoze igishushanyo mbonera gishya. 	The engineers developed a new blueprint.
Guverinoma yagombaga kwishyura igihombo. 	The government had to pay a loss.
Umusumari ufashe uhinduka inyundo. 	The gripping nail turns into a hammer.
Ababyeyi bareze umwana neza. 	Parents raise a child well.
Isoko ntirishobora kugendana nibisabwa. 	The market cannot meet the requirements.
Uyu munsi habaye gusenyuka kumuhanda wa . 	Today there was a collapse on the street of.
Buri gihe babyuka kare ndetse no ku cyumweru. 	They always wake up early even on Sundays.
Bacukuye agasanduku karimo ibisigazwa byabantu. 	They dug a box containing human remains.
Bafashe firigo hejuru yintambwe. 	They took the refrigerator to the top of the steps.
Ndimbati yatemye amashusho yose yari afite kuri anet. 	Ndimbati cut all the pictures he had on the anet.
Ndimbati yaraye agaragaye mu birori. 	Ndimbati appeared last night at the party.
Ndimbati yaje gufata icyemezo cyo gushaka anet. 	Ndimbati later decided to find an anet.
Ndimbati yazindutse kare kuruta uko byari bisanzwe muri iki gitondo. 	Ndimbati woke up earlier than usual this morning.
Ndimbati ashobora gufungwa imyaka igera kuri mirongo itatu. 	Ndimbati could be jailed for up to thirty years.
Ndimbati akomoka mu mujyi muto uhinga mu majyaruguru. 	Ndimbati hails from a small farming town in the north.
Ndimbati yitegereza anet maze amwenyura ubwoba. 	Ndimbati looked at the anet and smiled nervously.
Ndimbati yakinguye akabati amanika ikote. 	Ndimbati opened the closet and hung a coat.
Ndimbati yakuyeho amakuru yose yashoboraga. 	Ndimbati removed all possible information.
Ndimbati afata igikapu cye atangira kugenda. 	Ndimbati grabbed his bag and started walking.
Ndimbati yafashe igikombe atangira kunywa. 	Ndimbati grabbed the cup and started drinking.
Ndimbati yafashe impapuro arazihindura. 	Ndimbati grabbed the paper and turned it over.
Ndimbati yabwiye anet ko azamutwara ahagana mu ma saa mbiri n'igice. 	Ndimbati told the anet that he would take her around 2:30 p.m.
Ndimbati yagize ubwoba bwinshi kuburyo yenda guterera. 	Ndimbati was so frightened that he almost threw himself away.
Ndimbati yazamutse mu ntera gutora pome. 	Nimbat has risen to the occasion of picking an apple.
Ndimbati yazamutse mu kabari ategeka kunywa. 	Ndimbati went up to the bar and ordered a drink.
Ndimbati yazindutse bukeye bwaho yumva akomeye. 	Ndimbati woke up the next day feeling great.
Igihe cyose abonye anet mu maso he harabagirana. 	Every time he sees anet his face shines.
Amazi agize igice kinini cyisi. 	Water makes up the largest part of the world.
Byari byiza ko tutarara nijoro. 	It was better not to sleep at night.
Tugomba gukora cyane kugirango dusubize igihe cyatakaye. 	We have to work hard to make up for lost time.
Tugomba kuzuza kuri sitasiyo ikurikira. 	We have to fill it out at the next station.
Twarazamutse tumanuka mumihanda ya Kyoto. 	We climbed down the streets of Kyoto.
Byaba byiza duhise dufata iki kibazo. 	It would be nice if we could take this issue immediately.
Wifuza kuba iki mugihe ukuze? 	What do you want to be when you grow up?
Mbyutse muri iki gitondo imvura yagwaga. 	When I woke up this morning it was raining.
Nkangutse nsanga naboshye. 	When I woke up I found myself tied up.
Iyo izuba rirashe nzava mu buriri.	When the sun goes down I get out of bed.
ndimbati amaze kubyuka anet arimo kwiyuhagira. 	after waking up the anet is bathing.
Ninde uzi ibyo uzasanga muri atike?	Who knows what you'll find in the ticket?
Kuki utareba mu gitabo cya terefone? 	Why not look in the phone book?
Ntugomba kubyuka kare ejo. 	You don't have to wake up early tomorrow.
Ugomba gukora igihe watakaje. 	You have to work when you lose.
Ugomba kubyuka kare ejo mu gitondo. 	You have to wake up early tomorrow morning.
Mwese mwambaye. Urajya he? 	You are all dressed up. Where are you going?
umugabo wirabura yazamutse imbere ya hoteri. 	A black man went up in front of the hotel.
twagiye mubirori	we went in party
umusanza yanze kuryama	old man refuse to sleep
Icyo nzi cyo ni uko yaretse gahunda. 	All I know is that he left the program.
Umusaza araza amuhereza ukuboko 	The old man came and handed 
Urantora saa moya ejo mugitondo? 	Do you pick me up at 7 a.m. tomorrow?
Nkimara kubyuka umutwe uragaruka. 	As soon as I wake up my head comes back.
Mugihe tuzamutse hejuru umwuka uba muto. 	As we ascend the air becomes less and less.
Humura! Ibintu byose bizahita biba byiza. 	Take it easy! Everything will be fine immediately.
Abantu bigeze bakurega ko watsimbaraye? 	Have people ever accused you of being stubborn?
Tugomba kubyuka kare mu gitondo? 	Do we have to get up early in the morning?
Ntiwibagirwe kuntwara ejo mugitondo. 	Don't forget to pick me up tomorrow morning.
Ntiwibagirwe kubyuka ejo mugitondo. 	Don't forget to wake up tomorrow morning.
Mpa amafaranga yawe bitabaye ibyo nzagukubita. 	Give me your money otherwise I will hit you.
Yashizeho ubucuruzi bwiza mugihe gito. 	He set up a good business in a short time.
Yazanye igisubizo cy ikibazo. 	He brought the answer to the question.
Yari afite ibintu bihagije byo gukora kugirango akomeze akazi ke. 	He had enough work to do to keep his job.
Yiyubashye ubuzima binyuze mu koga. 	Respectful of life through swimming.
Agiye kuba umuganga namara gukura. 	He is going to be a doctor when he grows up.
Yiyemeje guhisha umugambi we ibanga. 	He is determined to keep his plan a secret.
Akeneye urwenya ruto kugirango yorohereze ibiganiro bye. 	He needs a little humor to facilitate his conversations.
Yarwaniye gukomeza abo bigana. 	He fought to keep up with his classmates.
Yagerageje kumenya icyo arwanya. 	He tried to figure out what he was up against.
Yagombaga kumuhamagara ariko aribagirwa. 	He had to call her but she forgot.
Yarimo azamuka umusozi ku muvuduko uhamye. 	He was climbing a mountain at a steady pace.
Nigute wazanye urwitwazo rwiza? 	How did you come up with such a great excuse?
Nigute warangije kuba mu nzu yo munsi ya ndimbati? 	How did you end up living in the basement?
Nigute wahinduye gukora imirimo nkiyi? 	How did you manage to do this kind of work?
Ihute urashobora gufata gari ya moshi yawe. 	Hurry up and you can take your train.
Buri gihe mbyuka saa kumi n'ebyiri za mu gitondo. 	I always wake up at 6 o'clock in the morning.
Sinshobora kwihanganira imyitwarire ye. 	I can't stand his behavior.
Numvaga ibirenge bizamuka kuntambwe. 	I could feel his feet rising from my feet.
Ntabwo numva nshaka gukina tennis muri iki gihe. 	I don’t feel like playing tennis today.
Ntabwo nkunda iyi skirt. Buri gihe irazamuka. 	I don't like this skirt. It always goes up.
Ndumva nabyutse mvuye mu nzozi mbi. 	I feel like I woke up from a nightmare.
Nibagiwe guhinduranya isaha yanjye nuko irahagarara. 	I forgot to change my watch so it stopped.
Narahebye itabi kandi numva ari umugabo mushya. 	I quit smoking and felt like a new man.
Ngomba kurangiza ibintu bimwe mbere yuko ngenda.	I have to finish some things before I leave.
Nkomeza kubyuka mu gicuku. 	I keep waking up in the middle of the night.
Nijoro naraye nsoma igitabo. 	I spent the night reading a book.
Nahagumye nyuma cyane nkiri umunyeshuri. 	I stayed very late as a student.
Nahamagaye ubutwari bwanjye ninjira imbere. 	I summoned my courage and stepped forward.
Namusabye kureka icyo gitekerezo cyabasazi. 	I asked her to let go of that crazy idea.
Nzatora amafoto saa kumi n'ebyiri. 	I will take photos at 6 p.m.
Mfite ubwoba ko tudashobora gusimbuza ubutaka bwatakaye. 	I am afraid that we will not be able to replace the lost land.
Nzi neza ko ndimbati azatora anet nyuma yishuri. 	I'm pretty sure he'll pick anet after school.
Niba ndimbati yatandukanye na anet azicuza. 	If Nimbat is separated from the anet he will regret it.
Niba uretse iyo niyo mperuka yumukino. 	Otherwise that's the end of the game.
Birangora kubyuka mbere ya gatandatu. 	It's hard to get up before six.
Ntibishoboka ko areka itabi. 	It is unlikely that he will quit smoking.
Ntabwo ari igitekerezo cyiza cyo gufata hitchikers. 	It’s not a good idea to take hitchikers.
Jefferson ntabwo yari yiteguye kureka umugambi we. 	Jefferson was not ready to give up his plan.
anet agumisha imitako ye muri banki. 	anet keeps his jewelry in the bank.
Umwishywa wanjye yari amenyereye kurara. 	My niece was used to sleeping.
Mushiki wanjye Susan arabyuka kare buri gitondo. 	My sister Susan wakes up early every morning.
Noneho rero reka iki kibazo gikemuke. 	So let this problem be solved.
Umwe umwe inshuti zaje kumuvugisha. 	One by one friends came to talk to him.
Abanyamuryango bake gusa ni bo bitabiriye inama. 	Only a handful of members attended the meeting.
Nyamuneka nkanguka saa moya ejo mugitondo. 	Please wake up at 7am tomorrow morning.
Sandra yakuze aba umugore mwiza. 	Sandra grew up to be a beautiful woman.
Yaramwishimiye kuko yarihebye. 	He was happy because he was depressed.
Akenshi abona isukari n'umunyu bivanze. 	He often sees a mixture of sugar and salt.
Yagufashe muri byose. 	He helped you in everything.
Yatangiye kuboha mu gihe cye cy'ikiruhuko. 	He began knitting during his vacation.
Ikintu kimbwira ko nta cyiza afite.	Something tells me that he has nothing good.
Abanyeshuri bahaguruka iyo mwarimu wabo yinjiye. 	Students get up when their teacher comes in.
Fata umugozi ndagukurura. 	Take the rope I'll pull you.
Iyo hoteri ntabwo aribyo byose byacitse kugirango bibe. 	That hotel is not what it used to be.
Urwo ni urwitwazo rucumbagira rwo kureka akazi. 	That's the decent thing to do and it should end there.
Umwana yabyutse mu gicuku. 	The baby woke up in the middle of the night.
Umushinga w'itegeko wongeyeho amadorari ibihumbi bitatu. 	The bill adds $ 3000.
Cake yose yariye mbere yuko ngera murugo. 	The whole cake was eaten before I got home.
Abana bazakanguka nimutera urusaku. 	Children will wake up when you make a noise.
Komite igizwe n’abanyamuryango cumi na batanu. 	The committee is made up of fifteen members.
Ibiciro byo kubaho bizamuka ubudahwema. 	The cost of living is rising steadily.
Muganga yamwumvishije kureka itabi. 	The doctor persuaded her to quit.
Iyo twazamutse hejuru niko byakonje	When we went upstairs it was cold
Akazi kagomba kureka icyumweru uhereye uyu munsi. 	The job is to give up a week from today.
Kuvugisha ukuri ntabwo yari ashinzwe akazi. 	To be honest he was not in charge of the job.
Ndimbati na anet bombi bahagurukiye icyarimwe. 	Nimbati and Anet both got up at the same time.
Ndimbati yinjiye kuri moto arayitangira. 	Ndimbati got on the motorcycle and started it.
Ndimbati agiye ku kibuga cyindege gufata anet. 	Ndimbati goes to the airport to pick up the anet.
Ndimbati arapfukama azamura hasi. 	Nimbati knelt down and raised her to the ground.
Ndimbati yafashe igikombe cya kawa ye aranywa. 	Ndimbati grabbed his cup of coffee and drank.
